isqno,datetime_min,datetime_max,datetime,duration1,duration2,war,name,locn,campgn,latitude,longitude
116,1801-01,1802-02,1801-01-02T12:30:00,1,0.6,Battle of Copenhagen,,Copenhagen,Copenhagen,55.121,12.3648
117,1805-12-02T08:00:00,1805-12-02T17:00:00,1805-12-02T12:30:00,1,0.45,THE NAPOLEONIC WARS,AUSTERLITZ,MORAVIA,THIRD COALITION,49.133333,16.766667
118,1806-10-14T06:00:00,1806-10-14T15:15:00,1806-10-14T10:37:30,1,0.4625,THE NAPOLEONIC WARS,JENA,PRUSSIA,JENA,50.93049,11.590435
119,1806-10-14T08:00:00,1806-10-14T16:00:00,1806-10-14T12:00:00,1,0.4,THE NAPOLEONIC WARS,AUERSTADT,PRUSSIA,JENA,51.102918,11.590432
120,1807-02-08T08:00:00,1807-02-08T22:00:00,1807-02-08T15:00:00,1,0.7,THE NAPOLEONIC WARS,EYLAU,PRUSSIA,POLAND 1807,48.882368,2.27985
121,1807-06-14T17:30:00,1807-06-14T23:00:00,1807-06-14T20:15:00,1,0.275,THE NAPOLEONIC WARS,FRIEDLAND,PRUSSIA,POLAND 1807,51.431425,9.917855
122,1808-08-21T10:00:00,1808-08-21T19:30:00,1808-08-21T14:45:00,1,0.475,THE NAPOLEONIC WARS,VIMIERO,PORTUGAL,PENINSULAR 1808,40.134386,-8.064781
123,1809-01-16T14:00:00,1809-01-16T18:00:00,1809-01-16T16:00:00,1,0.2,THE NAPOLEONIC WARS,CORUNNA,SPAIN,PENINSULAR 1809,43.366203,-8.41442
124,1809-04-22T13:30:00,1809-04-22T19:30:00,1809-04-22T16:30:00,1,0.3,THE NAPOLEONIC WARS,ECKMUEHL,AUSTRIA,WAGRAM,47.798279,-4.372512
125,1809-05-21T13:00:00,1809-05-22T15:00:00,1809-05-22T02:00:00,1.875,0.775,THE NAPOLEONIC WARS,ASPERN-ESSLING,AUSTRIA,WAGRAM,48.220076,16.482706
126,1809-06-14T14:00:00,1809-06-14T17:00:00,1809-06-14T15:30:00,1,0.15,THE NAPOLEONIC WARS,THE RAAB,HUNGARY,WAGRAM,48.352938,13.646336
127,1809-07-05T19:00:00,1809-07-06T14:00:00,1809-07-06T04:30:00,1.375,0.575,THE NAPOLEONIC WARS,WAGRAM,AUSTRIA,WAGRAM,48.32517,16.575518
128,1809-07-28T05:00:00,1809-07-28T18:00:00,1809-07-28T11:30:00,1.354166667,0.258333333,THE NAPOLEONIC WARS,TALAVERA,SPAIN,PENINSULAR 1809,39.963148,-4.830358
129,1810-09-27T05:45:00,1810-09-27T14:00:00,1810-09-27T09:52:30,1,0.4125,THE NAPOLEONIC WARS,BUSSACO,PORTUGAL,PENINSULAR 1810,40.35007,-8.349517
130,1811-05-05T07:00:00,1811-05-05T14:00:00,1811-05-05T10:30:00,1,0.35,THE NAPOLEONIC WARS,FUENTES DE ONORO,SPAIN,PENINSULAR 1811,40.592094,-6.81162
131,1811-05-16T09:00:00,1811-05-16T14:50:00,1811-05-16T11:55:00,1,0.291666667,THE NAPOLEONIC WARS,ALBUERA,SPAIN,PENINSULAR 1811,40.964451,-5.657338
132,1812-07-22T17:00:00,1812-07-22T20:45:00,1812-07-22T18:52:30,1,0.1875,THE NAPOLEONIC WARS,SALAMANCA,SPAIN,PENINSULAR 1812,40.971858,-5.66372
133,1813-06-21T08:30:00,1813-06-21T19:30:00,1813-06-21T14:00:00,1,0.55,THE NAPOLEONIC WARS,VITTORIA,SPAIN,PENINSULAR 1813,36.953524,14.533411
134,1812-09-07T06:00:00,1812-09-07T18:00:00,1812-09-07T12:00:00,1,0.6,THE NAPOLEONIC WARS,BORODINO,RUSSIA,RUSSIA 1812,55.528778,35.822284
135,1813-05-02T11:45:00,1813-05-02T21:00:00,1813-05-02T16:22:30,1,0.4625,THE NAPOLEONIC WARS,LUETZEN,SAXONY,LEIPZIG 1813,51.232592,12.130056
136,1813-05-20T15:00:00,1813-05-21T17:00:00,1813-05-21T04:00:00,1.583333333,0.85,THE NAPOLEONIC WARS,BAUTZEN,SAXONY,LEIPZIG 1813,51.190124,14.42355
137,1813-08-26T05:00:00,1813-08-27T16:00:00,1813-08-26T22:30:00,2.041666667,1.1,THE NAPOLEONIC WARS,DRESDEN,SAXONY,LEIPZIG 1813,51.059059,13.752665
138,1813-10-16T08:30:00,1813-10-19T14:00:00,1813-10-17T23:15:00,4.0625,1.175,THE NAPOLEONIC WARS,LEIPZIG,SAXONY,LEIPZIG 1813,51.344272,12.372341
139,1813-10-30T09:00:00,1813-10-31T11:00:00,1813-10-30T22:00:00,1.916666667,0.625,THE NAPOLEONIC WARS,HANAU,HESSE,LEIPZIG 1813,50.124785,8.930632
140,1814-02-01T13:00:00,1814-02-01T20:00:00,1814-02-01T16:30:00,1,0.35,THE NAPOLEONIC WARS,LA ROTHIERE,FRANCE,DEFENSE OF FRANCE,48.345201,4.565407
141,1814-03-09T06:00:00,1814-03-10T17:00:00,1814-03-09T23:30:00,2,1.25,THE NAPOLEONIC WARS,LAON,FRANCE,DEFENSE OF FRANCE,49.567954,3.62116
142,1814-03-20T14:00:00,1814-03-21T18:00:00,1814-03-21T04:00:00,2.041666667,0.425,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,FRANCE,DEFENSE OF FRANCE,48.53811,4.141988
143,1815-06-16T14:00:00,1815-06-16T21:30:00,1815-06-16T17:45:00,1,0.375,THE NAPOLEONIC WARS,LIGNY,BELGIUM,THE HUNDRED DAYS,50.512437,4.577052
144,1815-06-16T14:30:00,1815-06-16T21:30:00,1815-06-16T18:00:00,1,0.35,THE NAPOLEONIC WARS,QUATRE BRAS,BELGIUM,THE HUNDRED DAYS,50.820612,4.476766
145,1815-06-18T11:30:00,1815-06-18T21:30:00,1815-06-18T16:30:00,1,0.5,THE NAPOLEONIC WARS,WATERLOO,BELGIUM,THE HUNDRED DAYS,50.526019,4.468069
